Date,Product,Region,Unit_Price,Discount_Percent,Marketing_Spend,Units_Sold,Revenue
2022-12-01,Headphones,Central,1293.46,30,40003.62,956,1236544.03
2022-11-01,Tablet,West,1061.6,10,11311.06,748,794080.36
2021-05-01,Tablet,West,1137.9,0,13728.48,1492,1697739.56
2021-07-01,Smartwatch,East,359.07,10,12736.05,786,282227.02
2025-07-01,Mobile,West,303.46,20,11618.75,315,95589.61
2021-06-01,Speaker,South,351.55,20,4604.06,631,221830.32
2024-07-01,Speaker,South,307.16,25,4896.2,862,264767.7
2023-06-01,Camera,Central,1155.77,0,16788.82,707,817126.99
2023-07-01,Headphones,North,1094.62,5,23505.41,1353,1481015.01
2025-09-01,Mobile,West,282.76,25,7358.55,193,54573.06
2025-08-01,Smartwatch,North,1344.36,0,8026.81,350,470526.05
2023-09-01,Camera,North,987.5,0,23509.26,894,882824.25
2022-03-01,Smartwatch,West,739.73,15,9352.22,386,285535.7
2021-07-01,Laptop,Central,1306.62,10,22072.99,1199,1566638.28
2021-06-01,Laptop,North,812.46,10,12243.18,1152,935955.3
2023-04-01,Laptop,Central,1296.26,15,19725.28,2110,2735106.67
2024-01-01,Mobile,South,1211.62,0,13782.01,815,987468.66
2023-10-01,Laptop,South,1387.64,0,23222.86,592,821485.31
2023-02-01,Headphones,East,616.61,20,24096.54,988,609211.85
2021-06-01,Tablet,East,222.11,0,20587.14,621,137931.19
2025-07-01,Headphones,South,416.0,20,20800.44,1307,543712.29
2022-06-01,Camera,West,1494.33,0,18136.78,1103,1648250.15
2022-05-01,Tablet,North,361.5,25,5560.45,269,97244.52
2023-08-01,Tablet,South,1389.5,15,22071.46,536,744770.78
2024-10-01,Mobile,South,1259.35,5,20747.05,640,805984.94
2022-08-01,Smartwatch,South,1303.1,5,9646.65,276,359656.96
2025-09-01,Smartwatch,Central,456.14,5,10121.17,803,366279.1
2024-09-01,Laptop,Central,1240.36,15,20124.98,791,981124.18
2021-12-01,Tablet,North,394.52,0,9973.47,97,38267.99
2024-09-01,Headphones,West,1082.16,15,29680.53,915,990174.84
2024-09-01,Speaker,Central,138.02,15,15941.39,856,118148.68
2022-01-01,Tablet,East,195.36,0,17684.71,548,107058.39
2022-08-01,Camera,East,183.85,25,32150.68,2052,377252.27
2025-08-01,Speaker,West,464.29,0,21111.62,374,173644.59
2023-04-01,Smartwatch,East,338.85,10,8715.13,884,299541.01
2024-02-01,Laptop,East,254.04,0,16908.16,439,111522.74
2024-10-01,Tablet,North,356.19,20,9623.66,142,50579.08
2021-06-01,Speaker,Central,137.04,20,12842.68,1572,215428.27
2021-11-01,Camera,West,1541.99,0,43675.63,849,1309151.29
2021-01-01,Mobile,North,1146.05,10,9909.53,423,484779.68
2025-01-01,Camera,Central,1114.5,0,32747.23,1053,1173566.89
2023-08-01,Smartwatch,West,634.24,10,9163.73,323,204860.2
2022-09-01,Laptop,East,234.6,20,26350.21,312,73194.28
2023-06-01,Headphones,South,423.28,15,19265.12,1586,671327.35
2022-09-01,Smartwatch,West,708.39,15,5064.95,152,107675.25
2024-10-01,Laptop,North,809.51,15,21730.19,913,739082.39
2025-08-01,Camera,South,198.82,25,16566.81,1516,301405.18
2021-06-01,Speaker,West,469.32,10,22555.27,729,342134.08
2022-03-01,Speaker,Central,160.94,0,12092.08,830,133577.48
2025-04-01,Laptop,East,271.39,0,22019.46,455,123483.36
2022-05-01,Headphones,East,614.28,10,15131.28,790,485280.12
2023-12-01,Mobile,East,199.94,0,16456.63,394,78778.22
2025-01-01,Headphones,East,597.13,20,14514.93,750,447846.32
2023-03-01,Laptop,West,1341.99,0,17221.07,807,1082985.13
2023-09-01,Smartwatch,East,372.71,25,12034.94,629,234436.92
2023-02-01,Laptop,South,1421.02,0,18009.05,1090,1548917.21
2023-12-01,Tablet,East,214.7,25,28663.35,726,155870.68
2021-08-01,Mobile,West,273.74,20,10365.61,314,85955.38
2024-05-01,Mobile,North,1270.98,20,16849.36,844,1072705.64
2021-08-01,Speaker,Central,137.04,0,15252.07,867,118813.42
2021-12-01,Tablet,South,1579.32,0,40764.69,567,895476.78
2021-12-01,Tablet,East,230.26,5,33012.35,616,141841.78
2022-07-01,Laptop,Central,1216.48,15,15813.91,1529,1859999.3
2023-10-01,Smartwatch,Central,523.99,20,23492.88,1112,582673.55
2021-02-01,Laptop,South,1366.39,20,21618.55,2123,2900840.08
2021-10-01,Smartwatch,West,636.58,10,9020.34,243,154688.56
2021-02-01,Laptop,East,235.4,15,19299.15,568,133705.58
2023-02-01,Speaker,Central,153.86,0,15487.85,1433,220475.32
2022-02-01,Tablet,East,199.84,25,17144.78,866,173061.26
2022-11-01,Smartwatch,North,1232.77,10,15663.01,676,833354.22
2024-12-01,Headphones,East,563.41,0,25452.85,556,313258.44
2025-02-01,Smartwatch,South,1501.18,20,5699.91,347,520911.09
2024-09-01,Camera,South,220.73,25,11722.19,1145,252731.4
2024-02-01,Mobile,East,218.65,0,11853.29,584,127690.95
2025-01-01,Camera,South,210.85,5,17563.48,1447,305105.81
2023-12-01,Laptop,West,1306.19,10,24027.7,717,936540.78
2025-08-01,Headphones,Central,1133.66,25,22297.55,1075,1218689.22
2023-04-01,Mobile,South,1055.03,0,7753.56,1291,1362042.86
2024-03-01,Speaker,Central,157.57,25,21738.98,2077,327265.87
2021-03-01,Speaker,West,458.76,10,12152.6,576,264245.77
2025-09-01,Smartwatch,East,361.01,5,10556.24,494,178339.03
2021-08-01,Smartwatch,West,670.05,5,9203.55,247,165502.12
2025-03-01,Headphones,North,1078.07,5,25843.91,2130,2296295.59
2021-01-01,Speaker,East,1423.68,0,12605.4,826,1175956.16
2021-09-01,Tablet,East,230.5,15,24233.08,492,113403.67
2021-09-01,Camera,West,1361.95,5,25795.35,928,1263888.26
2024-01-01,Smartwatch,North,1267.72,40,7277.78,903,1144752.38
2022-01-01,Smartwatch,Central,507.3,5,9843.99,887,449976.15
2023-08-01,Laptop,South,1178.03,0,19649.48,1226,1444258.87
2024-09-01,Smartwatch,East,357.98,15,11327.47,582,208346.66
2024-04-01,Tablet,East,189.08,10,17663.51,951,179816.3
2022-08-01,Laptop,West,1168.38,10,26128.09,855,998968.82
2022-06-01,Headphones,South,417.23,30,26400.04,2390,997190.87
2022-01-01,Mobile,East,190.05,0,11467.87,673,127904.49
2024-07-01,Mobile,South,1111.68,0,12496.14,710,789292.22
2025-02-01,Camera,West,1426.94,30,15854.7,1839,2624145.07
2023-12-01,Headphones,West,1165.81,20,40261.36,1195,1393144.36
2024-01-01,Tablet,North,331.62,25,3349.99,137,45431.64
2024-01-01,Mobile,Central,279.64,10,23619.94,1033,288868.62
2025-06-01,Mobile,South,1100.5,25,11892.58,1664,1831230.45
2023-02-01,Tablet,North,339.8,10,3985.92,180,61164.39
2022-09-01,Headphones,South,363.17,5,24339.31,1128,409659.45
2024-09-01,Smartwatch,West,651.0,20,5554.57,157,102207.21
2024-02-01,Speaker,West,493.97,15,24155.15,739,365041.01
2024-11-01,Mobile,Central,240.11,10,39475.01,1075,258114.26
2021-04-01,Mobile,East,207.86,20,9761.75,728,151321.35
2021-05-01,Smartwatch,North,1333.08,15,8657.29,733,977147.03
2022-10-01,Speaker,South,345.72,0,12947.43,428,147966.95
2023-09-01,Headphones,North,979.06,10,25627.67,1308,1280610.49
2021-02-01,Tablet,East,218.6,25,22612.77,866,189309.62
2023-02-01,Laptop,Central,1315.46,15,13031.13,1243,1635115.69
2021-07-01,Laptop,South,1239.27,0,19429.38,1161,1438795.94
2025-05-01,Headphones,Central,1170.96,0,34485.55,1258,1473067.02
2023-08-01,Headphones,North,975.91,15,23928.63,1565,1527300.54
2022-07-01,Camera,West,1602.2,40,16141.36,1433,2295948.5
2025-03-01,Headphones,Central,1131.85,25,18635.29,1410,1595912.02
2025-04-01,Headphones,Central,1180.92,40,32126.07,2103,2483483.12
2024-01-01,Headphones,East,523.08,0,19123.39,636,332678.61
2021-04-01,Headphones,East,549.65,15,30249.69,1480,813476.21
2022-02-01,Mobile,East,203.96,0,6404.93,371,75667.67
2022-07-01,Laptop,East,247.8,30,23352.15,554,137283.51
2025-02-01,Tablet,East,230.44,15,19561.68,823,189649.48
2024-01-01,Camera,East,196.2,0,34222.03,1708,335103.85
2021-12-01,Smartwatch,West,631.66,15,7377.36,297,187603.2
2022-12-01,Mobile,West,304.92,5,23448.17,256,78058.75
2023-11-01,Tablet,South,1318.65,20,20551.01,584,770091.38
2022-02-01,Smartwatch,North,1341.11,30,4768.56,545,730907.39
2021-02-01,Mobile,Central,280.15,15,20310.22,1394,390528.6
2025-09-01,Speaker,East,1257.25,20,11011.89,535,672626.3
2021-07-01,Headphones,East,529.71,0,14171.15,572,302992.26
2022-01-01,Smartwatch,West,684.67,15,9921.32,458,313581.06
2025-01-01,Laptop,North,877.68,25,10535.76,948,832037.35
2022-10-01,Camera,Central,1084.87,25,54648.23,1091,1183590.07
2025-08-01,Camera,North,1077.45,20,15904.13,1082,1165802.65
2021-02-01,Speaker,East,1279.34,0,9336.8,650,831572.73
2024-10-01,Headphones,East,554.64,0,28567.73,545,302278.46
2022-09-01,Speaker,South,308.93,20,4773.52,204,63022.11
2021-01-01,Mobile,Central,286.88,0,16178.17,673,193068.5
2022-08-01,Mobile,West,268.78,25,10652.12,285,76601.61
2024-06-01,Smartwatch,East,372.87,0,13374.7,786,293071.92
2021-09-01,Laptop,East,278.08,15,26356.46,293,81476.09
2023-01-01,Smartwatch,Central,466.33,10,11032.43,918,428087.8
2023-06-01,Laptop,East,250.08,0,22105.4,424,106034.33
2023-06-01,Laptop,West,1223.22,10,20815.43,1144,1399359.02
2024-08-01,Laptop,South,1261.78,5,22109.64,1397,1762703.67
2024-12-01,Camera,East,210.5,0,44054.23,1585,333638.55
2025-06-01,Camera,East,212.35,10,37622.85,2371,503488.58
2022-12-01,Headphones,South,380.83,30,45467.95,2268,863713.25
2025-08-01,Mobile,East,209.33,10,8358.69,382,79962.27
2025-07-01,Laptop,West,1243.12,20,21998.77,1044,1297820.48
2022-01-01,Laptop,South,1294.37,30,16242.66,1657,2144767.94
2022-10-01,Mobile,West,280.87,10,23355.73,246,69093.86
2025-03-01,Mobile,North,1244.29,0,12412.95,415,516381.06
2024-11-01,Headphones,Central,1225.18,5,31465.92,653,800045.62
2022-02-01,Mobile,Central,244.12,15,17901.95,1378,336402.15
2025-06-01,Headphones,West,962.32,20,17910.15,1589,1529120.02
2024-07-01,Laptop,Central,1292.57,15,21617.81,1491,1927223.36
2021-09-01,Smartwatch,South,1336.28,20,4543.24,65,86857.93
2023-12-01,Mobile,North,1210.49,15,28655.58,655,792870.37
2022-09-01,Tablet,West,1092.1,10,9313.72,771,842007.66
2023-07-01,Tablet,Central,1196.43,10,4100.55,633,757342.16
2021-05-01,Smartwatch,South,1514.32,5,5201.57,272,411894.91
2025-01-01,Tablet,Central,1145.93,15,3947.17,357,409095.33
2024-03-01,Camera,East,208.92,10,17899.91,1959,409282.24
2023-01-01,Headphones,Central,1194.09,5,32221.64,867,1035280.13
2024-02-01,Camera,Central,1094.19,30,24302.5,1468,1606265.07
2024-09-01,Mobile,East,213.95,15,6001.06,410,87718.0
2022-12-01,Mobile,North,1128.36,0,23343.26,535,603671.22
2022-08-01,Speaker,North,1369.91,15,35321.08,1421,1946643.51
2022-01-01,Mobile,North,1142.2,0,13412.33,395,451169.03
2023-08-01,Laptop,North,837.93,5,12984.7,549,460025.7
2024-06-01,Camera,South,189.55,15,23395.97,2892,548165.56
2023-05-01,Laptop,East,252.54,20,20443.41,663,167432.14
2024-06-01,Laptop,South,1226.54,5,15957.62,1506,1847161.83
2022-07-01,Smartwatch,South,1549.49,10,8370.69,417,646138.75
2024-04-01,Mobile,Central,255.18,5,17185.7,1169,298309.92
2025-03-01,Speaker,East,1241.59,15,15224.83,1764,2190173.14
2025-03-01,Laptop,East,265.07,15,17377.71,509,134919.2
2023-06-01,Laptop,North,754.58,0,12683.04,1054,795328.13
2021-05-01,Laptop,East,265.23,5,21912.07,556,147467.64
2022-11-01,Speaker,North,1343.16,10,71139.81,1291,1734020.5
2022-03-01,Smartwatch,South,1346.92,20,7289.83,557,750236.48
2023-01-01,Laptop,Central,1367.72,0,15501.82,770,1053148.1
2023-11-01,Mobile,Central,285.84,20,27741.68,642,183506.64
2025-03-01,Laptop,South,1212.83,0,22464.59,2004,2430514.8
2024-11-01,Mobile,East,201.08,0,19798.34,509,102348.32
2022-12-01,Tablet,West,1112.05,20,20692.64,1610,1790406.14
2021-02-01,Speaker,South,318.37,30,7618.58,1115,354977.98
2025-02-01,Camera,North,1027.09,5,22558.12,1472,1511874.96
2021-09-01,Laptop,Central,1403.56,10,16339.55,839,1177585.64
2021-05-01,Camera,South,197.58,10,16616.28,2050,405037.03
2021-02-01,Mobile,South,1285.89,20,10975.2,1089,1400334.5
2021-12-01,Camera,Central,1180.78,5,28761.18,631,745073.87
2021-03-01,Camera,West,1526.68,10,18698.48,1486,2268651.07
2023-11-01,Mobile,North,1335.37,25,13873.11,300,400612.39
2022-12-01,Laptop,West,1298.58,10,20088.76,513,666170.8
2021-07-01,Mobile,North,1107.34,0,15671.86,515,570282.12
2022-06-01,Speaker,South,345.71,25,5744.71,999,345362.97
2024-03-01,Camera,Central,1030.98,15,22020.45,1510,1556781.64
2022-01-01,Tablet,Central,1232.16,15,3543.26,194,239039.35
2021-10-01,Smartwatch,South,1282.12,0,10379.1,195,250013.96
2024-08-01,Camera,North,1094.14,15,21456.86,1124,1229813.33
2024-07-01,Smartwatch,South,1382.83,5,4424.66,241,333261.39
2022-01-01,Laptop,Central,1282.45,0,18892.61,968,1241413.19
2025-07-01,Laptop,North,831.61,5,16248.95,856,711860.31
2023-07-01,Tablet,East,202.61,20,19915.42,834,168977.6
2022-07-01,Tablet,South,1548.05,20,11264.04,493,763186.81
2021-08-01,Tablet,North,354.8,10,3662.04,120,42575.54
2024-10-01,Speaker,Central,143.62,20,35395.97,986,141606.01
2025-03-01,Tablet,West,1023.07,20,6686.81,1168,1194942.66
2023-08-01,Speaker,East,1221.85,15,13557.25,1058,1292713.47
2021-05-01,Speaker,East,1301.9,0,9290.96,1201,1563576.93
2022-04-01,Speaker,Central,162.97,0,15675.32,1018,165904.53
2024-04-01,Speaker,South,321.26,15,7787.66,1192,382942.12
2024-02-01,Laptop,West,1205.61,0,21491.2,903,1088668.32
2024-11-01,Headphones,East,579.05,30,45315.76,879,508989.18
2024-04-01,Camera,North,977.96,15,28700.1,2516,2460549.95
2024-03-01,Headphones,North,971.48,0,35417.95,2744,2665741.61
2024-12-01,Mobile,South,1061.57,0,15483.03,807,856686.27
2024-09-01,Speaker,West,436.96,30,11785.44,253,110551.16
2025-04-01,Mobile,North,1304.72,10,11678.54,508,662799.03
2023-02-01,Mobile,North,1289.68,0,9565.55,402,518451.98
2021-06-01,Camera,Central,1077.57,20,22592.01,1291,1391141.72
2022-05-01,Speaker,North,1336.11,10,28324.92,1972,2634804.93
2024-04-01,Laptop,East,281.97,5,26175.76,484,136472.67
2024-05-01,Smartwatch,East,315.9,0,12077.47,767,242295.06
2025-08-01,Speaker,South,332.98,25,4185.89,300,99894.55
2022-04-01,Camera,South,213.55,5,20830.58,2206,471085.37
2024-10-01,Headphones,West,1035.64,30,53909.06,1342,1389834.44
2021-10-01,Mobile,North,1247.44,30,14437.19,307,382964.6
2022-06-01,Smartwatch,Central,476.77,25,14361.85,1694,807646.42
2025-01-01,Mobile,South,1123.62,30,10981.41,1208,1357333.6
2024-09-01,Speaker,North,1408.3,30,19992.17,800,1126637.0
2022-09-01,Speaker,West,430.29,0,22234.41,415,178571.54
2024-08-01,Speaker,West,416.97,25,15157.98,491,204730.05
2024-11-01,Camera,North,978.41,25,22731.23,1050,1027332.7
2023-03-01,Mobile,North,1335.56,5,13286.82,517,690485.69
2021-05-01,Laptop,South,1406.64,10,10605.72,1137,1599347.47
2025-06-01,Laptop,West,1341.7,20,25789.57,1221,1638221.68
2025-03-01,Headphones,West,968.39,0,28098.51,1675,1622046.69
2022-03-01,Mobile,Central,257.46,0,14029.82,820,211113.8
2021-02-01,Tablet,North,394.97,15,4410.77,85,33572.34
2022-01-01,Headphones,West,1091.82,20,18244.78,1133,1237031.29
2024-04-01,Laptop,Central,1332.97,20,14505.87,1789,2384690.83
2024-08-01,Smartwatch,West,661.26,0,9802.2,343,226813.35
2023-10-01,Headphones,South,378.44,15,31753.99,1161,439369.72
2024-01-01,Camera,West,1498.53,25,26727.73,1573,2357189.09
2024-04-01,Camera,Central,1110.13,20,18119.34,1259,1397656.58
2025-06-01,Smartwatch,East,373.52,0,11906.63,649,242415.1
2025-07-01,Speaker,South,349.36,10,7699.78,613,214157.96
2022-08-01,Smartwatch,East,359.33,10,15064.98,710,255122.72
2025-07-01,Mobile,East,199.88,10,7419.03,460,91946.02
2021-03-01,Smartwatch,West,758.18,0,4851.6,214,162250.53
2023-07-01,Camera,South,216.66,10,13165.55,1468,318053.6
